prefecture,city,number,address,name,note,lat,long
福岡県,飯塚市,36,,36　飯塚市鯰田　　畝割公民館前フェンス,,33.676424,130.714207
福岡県,飯塚市,37,,37　飯塚市鯰田　　簀子町公民館前,,33.667129,130.705398
福岡県,飯塚市,38,,38　飯塚市鯰田　　鯰田愛宕団地バス停付近　(旧愛生苑前),,33.653225,130.705267
福岡県,飯塚市,39,,39　飯塚市忠隈　　国道201号バイパス五穀神交差点付近,,33.622559,130.694111
福岡県,飯塚市,40,,40　飯塚市菰田五穀神　菰田市営住宅付近公園フェンス,,33.626882,130.692893
福岡県,飯塚市,41,,41　飯塚市鶴三緒　鶴三緒ポンプ場前付近（国道211号線沿い）,,33.628121,130.697046
福岡県,飯塚市,42,,42　飯塚市上三緒　上三緒団地内飯塚東保育園付近,,33.629959,130.712226
福岡県,飯塚市,43,,43　飯塚市上三緒　上三緒団地貯水タンク下付近,,33.632028,130.715245
福岡県,飯塚市,44,,44　飯塚市上三緒　上三緒第一公民館横児童公園フェンス,,33.627756,130.71147
福岡県,飯塚市,45,,45　飯塚市上三緒　上三緒団地口交差点付近,,33.629092,130.711999
福岡県,飯塚市,46,,46　飯塚市上三緒　上三緒郵便局バス停付近交差点信号機門,,33.625424,130.715445
福岡県,飯塚市,47,,47　飯塚市上三緒　大橋踏切付近(高木自動車付近),,33.624573,130.711851
福岡県,飯塚市,48,,48　飯塚市下三緒　東ヶ丘市営住宅入口三叉路付近,,33.636834,130.713986
福岡県,飯塚市,49,,49　飯塚市下三緒　元 山内口バス停付近ガードパイプ,,33.636548,130.709978
福岡県,飯塚市,50,,50　飯塚市下三緒　山内岡本ストアー付近（坂の上三叉路）,,33.635916,130.713925
福岡県,飯塚市,51,,51　飯塚市下三緒　東ケ丘公民館入口付近　(擁壁下階段横),,33.638257,130.712656
福岡県,飯塚市,52,,52　飯塚市下三緒　下三緒団地入口三叉路付近,,33.634372,130.710369
福岡県,飯塚市,53,,53　飯塚市下三緒　山内分譲住宅西側入口付近（池の端からの登り道沿い）,,33.638243,130.708528
福岡県,飯塚市,54,,54　柏の森ヒルズ公園フェンス,,33.639924,130.710208
福岡県,飯塚市,55,,55　飯塚市立岩　　市役所駐車場,,33.645424,130.6911093
福岡県,飯塚市,56,,56　飯塚市立岩　　飯塚拘置支所裏　（新川沿い　泉酒造前),,33.647558,130.691818
福岡県,飯塚市,57,,57　飯塚市川島　　川島陸橋付近グッディ横左折レーン側ガードパイプ,,33.653155,130.689063
福岡県,飯塚市,58,,58　飯塚市川島　　久世ヶ浦市営住宅南東側歩道,,33.654422,130.694999
福岡県,飯塚市,59,,59　飯塚市立岩　　立岩笠松五叉路付近,,33.645656,130.696783
福岡県,飯塚市,60,,60　飯塚市鯰田　　愛宕バス停前　(松本市営住宅下側),,33.654211,130.697094
福岡県,飯塚市,61,,61　飯塚市立岩　　立岩小学校入口正門フェンス付近,,33.652136,130.693714
福岡県,飯塚市,62,,62　飯塚市鯰田　　愛宕踏切東側調整池フェンス,,33.652654,130.699423
福岡県,飯塚市,63,,63　飯塚市片島　　西鉄工場バス停付近,,33.650844,130.683275
福岡県,飯塚市,64,,64　飯塚市片島　　若八幡宮前,,33.6461403,130.6813502
