prefecture,city,district,number,address,name,lat,long
東京都,港区,東京7区,7-4,芝３−７−１,ＮＴＴ三田ビル北西側鉄柵,35.6524327,139.7477171
東京都,港区,東京7区,7-5,芝３−３４,芝３－34南側区道沿い,35.650168,139.7477029
東京都,港区,東京7区,7-6,芝３−２４−５,masked,35.6515395,139.7481227
東京都,港区,東京7区,7-7,芝３−２３,芝３−２３都道植込,35.6508349,139.7491814
東京都,港区,東京7区,7-8,芝４−１−１７,三田いきいきプラザ東南植込,35.6486012,139.7498206
東京都,港区,東京7区,8-1,芝５−８−１,芝税務署北側鉄柵,35.6494933,139.7470469
東京都,港区,東京7区,8-2,芝５−８−１,芝税務署西側鉄柵,35.6491009,139.746827
東京都,港区,東京7区,8-3,芝５−１８−１,芝保育園南側鉄柵,35.6478166,139.7479907
東京都,港区,東京7区,8-4,芝５−１８−１,芝保育園西側金網,35.6480259,139.7475293
東京都,港区,東京7区,8-5,芝５−１８−２,東京都障害者福祉会館前鉄柵,35.6481119,139.7486236
東京都,港区,東京7区,8-6,芝５−１８−４,芝五丁目児童遊園東側植込,35.6484979,139.7481901
東京都,港区,東京7区,8-7,芝５−２８−４,旧三田図書館北側鉄柵,35.647147,139.7451613
東京都,港区,東京7区,9-1,芝浦２−５−１,あすか製薬前緑地,35.6455138,139.7538433
東京都,港区,東京7区,9-2,芝浦２−１１−５,芝潟橋東側鉄柵,35.6427477,139.7516169
東京都,港区,東京7区,9-3,芝浦３−１−１６,しばうら保育園前植込,35.6447597,139.750052
東京都,港区,東京7区,9-4,芝浦１−１６−１,みなとパーク芝浦北側植込,35.6467509,139.7523735
東京都,港区,東京7区,9-5,芝浦１−１６−２５,芝浦公園北西側植込,35.6456293,139.751197
東京都,港区,東京7区,9-6,芝浦３−１９−２６,渚橋西側橋台敷植込,35.6418061,139.7501338
東京都,港区,東京7区,9-7,海岸３−１４−３４,埠頭公園西側植込右寄り,35.6411382,139.7546029
東京都,港区,東京7区,9-8,芝浦３−３−６,東京工業大学附属科学技術高等学校南側港芝浦郵便局寄り塀,35.643455,139.7470116
東京都,港区,東京7区,10-1,三田３−２−２３,（財）香川育英会学生寮安全寺坂側金網,35.6472256,139.7417332
東京都,港区,東京7区,10-2,三田３−２−２７,普連土学園西側金網右寄り,35.646665,139.741253
東京都,港区,東京7区,10-3,三田４−１３−１３,三田中学校　バスケットコート前植込,35.6454361,139.7418172
東京都,港区,東京7区,10-4,三田４−１３−１３,三田中学校　地域開放施設入口コンクリート塀,35.6451048,139.7415543
東京都,港区,東京7区,10-5,三田３−５−２８,東京聖徳学園前都道沿い,35.6455291,139.7441247
東京都,港区,東京7区,10-6,三田３−８−６,高輪郵便局西側植込,35.6423334,139.7410911
東京都,港区,東京7区,10-7,三田３−８−６,高輪郵便局入口右側植込,35.6423552,139.7417134
東京都,港区,東京7区,11-1,三田２－６－２,赤羽小学校西側鉄柵,35.6515273,139.7423109
東京都,港区,東京7区,11-2,三田２－６－２,赤羽小学校正門左側植込み,35.6518761,139.7428473
東京都,港区,東京7区,11-3,三田１−１０,古川地下調節池排水施設脇（左側）鉄柵,35.6551534,139.7379764
東京都,港区,東京7区,11-4,三田１−４−４６,都立三田高等学校正門左側植込,35.6520482,139.7427704
東京都,港区,東京7区,11-5,三田１−１３−１１,龍原寺東側塀右寄り,35.6527116,139.7400343
東京都,港区,東京7区,11-6,三田２－１０－７,三田二丁目児童遊園南側植込左寄り,35.6504283,139.7443982
東京都,港区,東京7区,11-7,三田２−２−２４,慶応義塾大学グランド入口左側塀,35.6496222,139.7385582
東京都,港区,東京7区,11-8,三田２−６−１７,東京消防庁家族待機宿舎及び指定待機宿舎南側鉄柵,35.6511641,139.7424218
東京都,港区,東京7区,12-1,三田２−１７−１０,慶應義塾中等部正門左側塀左端,35.6488168,139.7412234
東京都,港区,東京7区,12-2,三田２−１９−１１,三田綱町児童遊園東側植込,35.6493771,139.7394771
東京都,港区,東京7区,12-3,三田２−１７−２３,慶應義塾女子高等学校西側塀,35.6482696,139.7394309
東京都,港区,東京7区,12-4,三田２−１７−２３,慶應義塾女子高等学校南側塀,35.6476985,139.7393826
東京都,港区,東京7区,12-5,三田４−２−１０,願海寺　国道１号線歩道前石垣,35.6457286,139.7395507
東京都,港区,東京7区,12-6,三田５−７−８,シャンボール三田公園西側鉄柵,35.6468187,139.7389519
東京都,港区,東京7区,12-7,三田５−７−８,シャンボール三田公園北側鉄柵,35.6466269,139.7395205
