No.,投票区名,ポスター掲示場設置施設名,ポスター掲示場の設置場所,備考,
55,第 10 投票区（横沼地区コミュニティ供用施設）,ミニ公園№29フェンス,東松島市大曲字堺堀２０３番地８,,
56,第 10 投票区（横沼地区コミュニティ供用施設）,寺前公園フェンス          ,東松島市大曲字上納南５番地,,
57,第 11 投票区（いちご放課後児童クラブ）,上区生活センターフェンス           ,東松島市赤井字星場３１２番地１９,,
58,第 11 投票区（いちご放課後児童クラブ）,東松島市立赤井小学校フェンス       ,東松島市赤井字中二号１１番地１,,
59,第 11 投票区（いちご放課後児童クラブ）,北赤井コミュニティ供用施設フェンス             ,東松島市赤井字寺６７番地２,,
60,第 11 投票区（いちご放課後児童クラブ）,住宅北側市道法面,東松島市赤井字本谷１０番地先,,
61,第 11 投票区（いちご放課後児童クラブ）,下区生活センター前フェンス             ,東松島市赤井字舘前２５９番地３,,
62,第 11 投票区（いちご放課後児童クラブ）,住宅ブロック塀,東松島市赤井字舘前２２９番地１,,
63,第 12 投票区（南赤井地区コミュニティ供用施設）,市営川前住宅北側空地 ,東松島市赤井字川前三番１６９番地１３,,
64,第 12 投票区（南赤井地区コミュニティ供用施設）,川南公園フェンス,東松島市赤井字南新町７番地内,,
65,第 12 投票区（南赤井地区コミュニティ供用施設）,赤井地区体育館フェンス,東松島市赤井字川前四番１００番地７,,
66,第 12 投票区（南赤井地区コミュニティ供用施設）,陸前赤井駅自転車駐輪場フェンス ,東松島市赤井字川前一１３番地１８,,
67,第 12 投票区（南赤井地区コミュニティ供用施設）,南赤井公園フェンス,東松島市赤井字川前三番１５２番地１,,
68,第 12 投票区（南赤井地区コミュニティ供用施設）,東松島市赤井市民センターフェンス,東松島市赤井字川前三１８９番地１,,
69,第 13 投票区（川前集会所）,東松島市立矢本第二中学校入口フェンス          ,東松島市赤井字川前一１６番地１,,
70,第 13 投票区（川前集会所）,東松島市立矢本第二中学校南側フェンス         ,東松島市赤井字川前一１６番地１,,
71,第 13 投票区（川前集会所）,川前公園フェンス,東松島市赤井字新川前２０番地２,,
72,第 13 投票区（川前集会所）,川前ふれあい公園フェンス         ,東松島市赤井字新川前２４番地９,,
73,第 14 投票区（市営柳の目西住宅集会所）,東松島市立赤井南小学校フェンス           ,東松島市赤井字川前一１０７番地,,
74,第 14 投票区（市営柳の目西住宅集会所）,住宅ブロック塀,東松島市赤井字鷲塚４５番地,,
75,第 14 投票区（市営柳の目西住宅集会所）,市営柳の目東住宅調整池フェンス,東松島市赤井字南一１５８番地７５,,
76,第 14 投票区（市営柳の目西住宅集会所）,有明公園東側フェンス,東松島市赤井字有明９番地１０,,
77,第 14 投票区（市営柳の目西住宅集会所）,日産プリンス宮城石巻港インター店前交差点南東側ガードパイプ,東松島市赤井字南二３１番地３,,
78,第 14 投票区（市営柳の目西住宅集会所）,久保土橋西側有明調整池前市道フェンス,東松島市赤井字有明地内,,
79,第 14 投票区（市営柳の目西住宅集会所）,柳の目西地区公園西側フェンス,東松島市赤井字南一７６番地１０５,,
80,第 15 投票区（東松島市大塩市民センター）,緑ケ丘三丁目市歩道ガードパイプ（さつき苑北西側）     ,東松島市大塩字緑ケ丘三丁目地内,,
81,第 15 投票区（東松島市大塩市民センター）,グリーンタウン北側調整池,東松島市大塩字緑ケ丘二丁目１番地１,,
82,第 15 投票区（東松島市大塩市民センター）,住宅ブロック塀,東松島市大塩字天神堂５８番地,,
83,第 15 投票区（東松島市大塩市民センター）,㈱橋本道路資材置場フェンス,東松島市大塩字緑ケ丘四丁目５番地６,,
84,第 16 投票区（東松島市塩入担い手センター）,塩入農村公園フェンス,東松島市大塩字南１９番地４,,
85,第 16 投票区（東松島市塩入担い手センター）,住宅前県道ガードパイプ,東松島市大塩字五台２３番地２,,
86,第 16 投票区（東松島市塩入担い手センター）,塩入担い手センターフェンス     ,東松島市大塩字南１９番地１,,
87,第 17 投票区（東松島市小野市民センター）,いしのまき農業協同組合鳴瀬支所入口フェンス,東松島市小野字新宮前１５番地１,,
88,第 17 投票区（東松島市小野市民センター）,住宅前県道ガードパイプ,東松島市小野字町裏２番地１,,
89,第 17 投票区（東松島市小野市民センター）,県歩道ガードパイプ（日本ウェルネス宮城高校南西側）     ,東松島市小野字裏丁１番地１１先,,
90,第 17 投票区（東松島市小野市民センター）,市道小野町線沿い住宅前石蔵,東松島市小野字町裏７５番地,,
91,第 17 投票区（東松島市小野市民センター）,東松島大橋交差点東側ガードパイプ,東松島市高松字日照沢２２番地５,,
92,第 17 投票区（東松島市小野市民センター）,住宅脇空地,東松島市新田字新田前５０番地８,,
93,第 18 投票区（西福田下集会所）,旧十階松バス待合所隣,東松島市西福田字岩崎１３３番地１,,
94,第 18 投票区（西福田下集会所）,西福田下ポンプ置場隣,東松島市西福田字寺前７７番地３,,
95,第 18 投票区（西福田下集会所）,住宅前交差点,東松島市西福田字古堂４７番地２,,
96,第 18 投票区（西福田下集会所）,住宅隣防火水槽フェンス,東松島市西福田字関下６２番地,,
97,第 18 投票区（西福田下集会所）,西福田上生活センター前,東松島市西福田字筒ノ山７０番地２,,
98,第 18 投票区（西福田下集会所）,住宅入口空地,東松島市西福田字御浦７８番地４,,
99,第 19 投票区（川下集会所）,住宅向空地,東松島市上下堤字平崎前２７番地１,,
100,第 19 投票区（川下集会所）,住宅東隣市道法面,東松島市上下堤字内谷地９５番地,,
101,第 19 投票区（川下集会所）,住宅前,東松島市上下堤字平崎前６０番地,,
102,第 19 投票区（川下集会所）,川下集会所北側フェンス,東松島市川下字内響１３１番地９４,,
103,第 20 投票区（小野駅前地区集会所）,陸前小野駅前駐輪場,東松島市牛網字上江戸原３７番地３,,
104,第 20 投票区（小野駅前地区集会所）,牛網地区コミュニティ供用施設向,東松島市牛網字下四十八１９番地４,,
105,第 20 投票区（小野駅前地区集会所）,牛網風の子公園フェンス,東松島市牛網字駅前一丁目１４番地,,
106,第 20 投票区（小野駅前地区集会所）,小野駅前南集会所,東松島市牛網字駅前二丁目３４番地１,,
107,第 20 投票区（小野駅前地区集会所）,牛網防災調整池フェンス,東松島市牛網字駅前東６番地２４,,
108,第 21 投票区（東松島市野蒜市民センター）,東松島市立宮野森小学校脇ガードパイプ,東松島市野蒜ケ丘二丁目１番地１,,
109,第 21 投票区（東松島市野蒜市民センター）,野蒜駅北側市道法面,東松島市野蒜ケ丘一丁目１０４番地,,
110,第 21 投票区（東松島市野蒜市民センター）,住宅北側空地,東松島市新東名一丁目１５番地５,,
111,第 21 投票区（東松島市野蒜市民センター）,野蒜第３雨水ポンプ場フェンス,東松島市野蒜字北赤崎４２番地１,,
112,第 21 投票区（東松島市野蒜市民センター）,中下自治公民館前,東松島市野蒜字山岸８０番地３,,
113,第 21 投票区（東松島市野蒜市民センター）,大塚自治公民館前,東松島市大塚字大塚２,,
114,第 21 投票区（東松島市野蒜市民センター）,一本松公園内フェンス,東松島市新東名三丁目５番地４,,
115,第 21 投票区（東松島市野蒜市民センター）,東松島市立鳴瀬未来中学校西側法面,東松島市野蒜字上野蒜２３２番地,,
116,第 21 投票区（東松島市野蒜市民センター）,浅井自治公民館前フェンス,東松島市浅井字下館６９番地,,
117,第 22 投票区（東松島宮戸地区復興再生多目的施設）,宮城県漁業協同組合宮戸西部支所 裏,東松島市宮戸字里８１番地１１,,
118,第 22 投票区（東松島宮戸地区復興再生多目的施設）,東松島宮戸地区復興再生多目的施設,東松島市宮戸字川原５番地１,,
119,第 22 投票区（東松島宮戸地区復興再生多目的施設）,月浜集会所フェンス,東松島市宮戸字月浜一丁目２番地,,
120,第 22 投票区（東松島宮戸地区復興再生多目的施設）,住宅北空地,東松島市宮戸字鹿島一丁目３番地３５,,
121,第 22 投票区（東松島宮戸地区復興再生多目的施設）,大浜台団地市道法面,東松島市宮戸大浜台７番地１９,,
