prefecture,city,kuwari,number,address,name,lat,long,note
東京都,千代田区,東京1区,7-4,神田三崎町二丁目2番12号,日本大学法学部4号館,35.7001438,139.7546829,
東京都,千代田区,東京1区,7-5,西神田二丁目6番2号,西神田保育園,35.6988875,139.7547064,
東京都,千代田区,東京1区,7-6,神田神保町二丁目10番地,神三児童遊園,35.697133,139.7556294,
東京都,千代田区,東京1区,8-1,神田駿河台一丁目2番地,太田姫稲荷神社前,35.6967021,139.7629276,
東京都,千代田区,東京1区,8-2,神田猿楽町一丁目1番2号,錦華公園（北側）,35.697579,139.7604411,
東京都,千代田区,東京1区,8-3,神田猿楽町一丁目1番2号,錦華公園（東側）,35.697579,139.7604411,
東京都,千代田区,東京1区,8-4,神田猿楽町一丁目6番4号,明治大学猿楽町第4校舎横フェンス (位置情報が見つかりませんでした),35.6986123,139.7603995,
東京都,千代田区,東京1区,8-5,一ツ橋二丁目2番1号,共立女子学園裏,35.6932121,139.7570043,
東京都,千代田区,東京1区,8-6,一ツ橋二丁目6番14号,神田一橋中学校（北東側）,35.6946393,139.7568163,
東京都,千代田区,東京1区,8-7,一ツ橋二丁目6番14号,神田一橋中学校（南東側）,35.6946393,139.7568163,
東京都,千代田区,東京1区,9-1,神田小川町三丁目6番地,小川広場（北側）,35.6951887,139.7622244,
東京都,千代田区,東京1区,9-2,神田小川町三丁目6番地,小川広場（北側②）,35.6951887,139.7622244,
東京都,千代田区,東京1区,9-3,神田小川町三丁目6番地,小川広場（東側）,35.6951887,139.7622244,
東京都,千代田区,東京1区,9-4,神田錦町一丁目29番地,神田橋公園,35.691746,139.76416,緯度経度は怪しい
東京都,千代田区,東京1区,9-5,神田錦町三丁目26番地,学士会館横,35.693064,139.759517,
東京都,千代田区,東京1区,10-1,神田淡路町二丁目8番地1,特別養護老人ホーム　かんだ連雀 (位置情報が見つかりませんでした),35.6966419,139.7683732,
東京都,千代田区,東京1区,10-2,神田淡路町二丁目12番地,神田郵便局（南側）,35.6976325,139.7687134,
東京都,千代田区,東京1区,10-3,神田淡路町二丁目27番,淡路公園,35.6971107,139.7671332,
東京都,千代田区,東京1区,10-4,神田淡路町二丁目27番,淡路公園,35.6971107,139.7671332,
東京都,千代田区,東京1区,10-5,神田淡路町二丁目27番,淡路公園,35.6971107,139.7671332,
